name,value
two years ago - DATE,Metcalf - PERSON
15 years - DATE,30 - CARDINAL
12 years old - DATE,
26 - CARDINAL,Metcalf - PERSON
Today - DATE,
15 - DATE,first - ORDINAL
15 - DATE,first - ORDINAL
15 - DATE,Marian Rezelman - PERSON
15 - DATE,first - ORDINAL
15 - DATE,Marian Rezelman - PERSON
15 - DATE,Pro Action - PERSON
15 - DATE,first - ORDINAL
15 - DATE,Marian Rezelman - PERSON
15 - DATE,Pro Action - PERSON
15 - DATE,Metcalf - PERSON
Marian Rezelman - PERSON,first - ORDINAL
Marian Rezelman - PERSON,15 - DATE
Marian Rezelman - PERSON,first - ORDINAL
Marian Rezelman - PERSON,15 - DATE
Marian Rezelman - PERSON,Pro Action - PERSON
Marian Rezelman - PERSON,first - ORDINAL
Marian Rezelman - PERSON,15 - DATE
Marian Rezelman - PERSON,Pro Action - PERSON
Marian Rezelman - PERSON,Metcalf - PERSON
Pro Action - PERSON,first - ORDINAL
Pro Action - PERSON,15 - DATE
Pro Action - PERSON,Marian Rezelman - PERSON
Pro Action - PERSON,first - ORDINAL
Pro Action - PERSON,15 - DATE
Pro Action - PERSON,Marian Rezelman - PERSON
Pro Action - PERSON,Metcalf - PERSON
Rezelman - PERSON,
Nearly half - CARDINAL,19 - CARDINAL
19 - CARDINAL,Nearly half - CARDINAL
Florida - GPE,
the middle of the night - DATE,Metcalf - PERSON
6 years old - DATE,
thousands - CARDINAL,tens of thousands of dollars - CARDINAL
thousands - CARDINAL,tens of thousands of dollars - CARDINAL
thousands - CARDINAL,Metcalf - PERSON
tens of thousands of dollars - CARDINAL,thousands - CARDINAL
tens of thousands of dollars - CARDINAL,thousands - CARDINAL
tens of thousands of dollars - CARDINAL,Metcalf - PERSON
almost 50 years ago - DATE,Metcalf - PERSON
almost 50 years ago - DATE,Metcalf - PERSON
almost 50 years ago - DATE,Lyndon Johnson - PERSON
Lyndon Johnson - PERSON,Metcalf - PERSON
Lyndon Johnson - PERSON,almost 50 years ago - DATE
two feet - QUANTITY,
"3,000 - MONEY",One - CARDINAL
"3,000 - MONEY",Metcalf - PERSON
"3,000 - MONEY",Medicaid - ORG
700 - MONEY,200 - MONEY
700 - MONEY,200 - MONEY
700 - MONEY,744 - MONEY
700 - MONEY,200 - MONEY
700 - MONEY,744 - MONEY
700 - MONEY,Social Security - ORG
700 - MONEY,200 - MONEY
700 - MONEY,744 - MONEY
700 - MONEY,Social Security - ORG
700 - MONEY,McDonald's - ORG
200 - MONEY,700 - MONEY
200 - MONEY,700 - MONEY
200 - MONEY,744 - MONEY
200 - MONEY,700 - MONEY
200 - MONEY,744 - MONEY
200 - MONEY,Social Security - ORG
200 - MONEY,700 - MONEY
200 - MONEY,744 - MONEY
200 - MONEY,Social Security - ORG
200 - MONEY,McDonald's - ORG
744 - MONEY,700 - MONEY
744 - MONEY,200 - MONEY
744 - MONEY,700 - MONEY
744 - MONEY,200 - MONEY
744 - MONEY,Social Security - ORG
744 - MONEY,700 - MONEY
744 - MONEY,200 - MONEY
744 - MONEY,Social Security - ORG
744 - MONEY,McDonald's - ORG
Social Security - ORG,700 - MONEY
Social Security - ORG,200 - MONEY
Social Security - ORG,744 - MONEY
Social Security - ORG,700 - MONEY
Social Security - ORG,200 - MONEY
Social Security - ORG,744 - MONEY
Social Security - ORG,McDonald's - ORG
McDonald's - ORG,700 - MONEY
McDonald's - ORG,200 - MONEY
McDonald's - ORG,744 - MONEY
McDonald's - ORG,Social Security - ORG
Medicaid - ORG,"3,000 - MONEY"
Medicaid - ORG,Rezelman - PRODUCT
Medicaid - ORG,Metcalf - PERSON
Rezelman - PRODUCT,Metcalf - PERSON
Rezelman - PRODUCT,Metcalf - PERSON
Rezelman - PRODUCT,Medicaid - ORG
Kathryn Muller - PERSON,Steuben County - GPE
Kathryn Muller - PERSON,Steuben County - GPE
Kathryn Muller - PERSON,Metcalf - PERSON
Steuben County - GPE,Kathryn Muller - PERSON
Steuben County - GPE,Kathryn Muller - PERSON
Steuben County - GPE,Metcalf - PERSON
Muller - PERSON,one year - DATE
a year - DATE,
One year - DATE,
one year - DATE,Muller - PERSON
